image_id,x_1,y_1,width,height
000107.jpg,41,57,99,137
000150.jpg,340,179,286,396
000444.jpg,180,147,354,490
000566.jpg,124,90,151,209
000851.jpg,42,83,255,353
000930.jpg,119,105,281,389
001454.jpg,102,75,156,216
001546.jpg,59,51,211,292
001704.jpg,220,38,127,176
001886.jpg,78,68,140,194
002051.jpg,127,116,153,212
002442.jpg,132,37,179,248
002535.jpg,72,58,143,198
002662.jpg,163,103,239,331
003010.jpg,93,73,221,306
003216.jpg,110,79,148,205
003317.jpg,207,192,88,122
003709.jpg,171,38,190,263
003869.jpg,260,32,94,130
004521.jpg,28,17,96,133
005082.jpg,166,58,96,133
005106.jpg,33,49,78,108
005121.jpg,198,63,122,169
005343.jpg,64,38,81,112
005515.jpg,47,26,96,133
006204.jpg,141,136,244,338
006403.jpg,1211,258,655,907
006498.jpg,54,69,255,353
006557.jpg,74,329,127,176
006732.jpg,79,36,44,61
006957.jpg,83,117,205,284
007070.jpg,54,40,99,137
007105.jpg,100,62,192,266
007236.jpg,28,51,107,148
007524.jpg,211,75,161,223
007609.jpg,138,61,107,148
007812.jpg,22,101,208,288
008135.jpg,146,99,140,194
008235.jpg,264,125,117,162
008332.jpg,94,84,130,180
008415.jpg,21,77,302,418
009445.jpg,71,32,96,133
010029.jpg,159,38,148,205
010152.jpg,48,83,159,220
010419.jpg,50,64,182,224
010459.jpg,111,124,237,328
010554.jpg,1159,160,283,392
010767.jpg,151,29,133,184
010966.jpg,69,17,49,68
011391.jpg,75,92,148,205
011558.jpg,271,26,127,176
011636.jpg,93,99,286,396
011932.jpg,130,36,138,191
012013.jpg,275,51,260,360
012115.jpg,106,59,81,112
012352.jpg,79,67,135,187
013145.jpg,144,84,125,173
013165.jpg,134,114,140,194
013182.jpg,226,227,172,238
013262.jpg,79,85,143,198
013317.jpg,115,99,330,441
013654.jpg,156,76,62,86
014201.jpg,295,18,114,158
014294.jpg,61,33,146,202
014664.jpg,354,165,120,166
014911.jpg,196,91,91,126
014986.jpg,112,63,332,434
015185.jpg,118,142,268,355
015332.jpg,203,105,320,443
015371.jpg,100,33,117,162
015434.jpg,101,61,133,184
015890.jpg,32,44,117,162
015980.jpg,54,46,179,248
016323.jpg,86,127,309,409
016654.jpg,237,201,377,522
016785.jpg,315,225,452,626
016838.jpg,80,39,78,108
017351.jpg,206,47,146,202
017669.jpg,92,108,143,198
017816.jpg,132,55,101,140
017963.jpg,136,43,104,144
017988.jpg,63,121,195,270
018034.jpg,351,326,543,752
018077.jpg,116,81,216,299
018144.jpg,260,92,174,241
018199.jpg,99,88,242,335
018234.jpg,184,64,164,227
018344.jpg,133,68,91,126
018575.jpg,23,44,127,176
018611.jpg,95,67,107,148
018718.jpg,61,57,112,155
019017.jpg,20,43,99,137
019092.jpg,89,98,200,277
019205.jpg,44,19,70,97
019725.jpg,84,76,182,252
019762.jpg,745,214,655,907
019923.jpg,96,103,203,281
020312.jpg,92,104,146,202
020646.jpg,94,98,125,173
020657.jpg,115,58,62,86
020917.jpg,88,56,122,169
021001.jpg,13,46,99,137
021123.jpg,676,73,239,331
021472.jpg,175,128,239,331
021492.jpg,45,21,47,65
022007.jpg,106,79,205,284
022229.jpg,83,99,276,382
022443.jpg,148,86,380,526
022454.jpg,551,170,265,367
022719.jpg,67,79,125,173
022791.jpg,152,65,117,162
023832.jpg,159,10,159,220
024196.jpg,85,25,78,108
024313.jpg,95,62,148,205
024394.jpg,65,55,122,169
024449.jpg,128,29,62,86
024481.jpg,99,61,156,216
024562.jpg,158,35,109,151
024727.jpg,88,54,159,220
025354.jpg,197,78,166,230
025410.jpg,108,143,200,277
025667.jpg,144,65,112,155
025800.jpg,144,33,88,122
026210.jpg,115,79,96,133
026353.jpg,76,39,101,140
026477.jpg,33,60,166,230
026713.jpg,197,55,122,169
026794.jpg,39,53,208,288
026869.jpg,1,20,135,187
026893.jpg,127,212,341,472
026947.jpg,64,114,135,187
027155.jpg,29,58,146,202
027667.jpg,62,69,208,288
027895.jpg,49,100,255,353
027942.jpg,127,23,120,166
028059.jpg,79,58,130,180
028337.jpg,19,113,276,381
028338.jpg,90,87,138,191
028418.jpg,163,19,284,396
028645.jpg,36,71,218,302
028744.jpg,92,80,140,194
029185.jpg,88,83,96,133
029243.jpg,143,23,159,220
029326.jpg,291,84,252,349
029328.jpg,114,23,143,198
029987.jpg,248,230,260,360
030025.jpg,18,74,205,268
030030.jpg,101,105,255,353
030237.jpg,86,25,101,140
030259.jpg,40,58,153,211
030316.jpg,86,60,198,274
031341.jpg,96,57,127,176
031428.jpg,99,27,114,158
031630.jpg,127,64,237,328
031721.jpg,55,50,31,43
031734.jpg,85,68,195,270
031814.jpg,101,64,96,133
032670.jpg,81,81,179,248
032723.jpg,272,73,260,360
032968.jpg,42,38,341,459
033089.jpg,426,70,328,454
033104.jpg,117,105,255,353
033183.jpg,105,15,146,202
033368.jpg,42,36,130,180
033410.jpg,32,47,216,299
033457.jpg,63,16,260,360
033658.jpg,45,24,101,140
034294.jpg,79,88,203,281
034309.jpg,89,60,91,126
034685.jpg,147,72,250,319
034723.jpg,305,50,270,374
034955.jpg,192,53,159,220
035204.jpg,81,42,247,342
035573.jpg,48,47,159,220
036263.jpg,191,51,255,353
036274.jpg,953,62,239,331
036580.jpg,114,145,242,335
036604.jpg,38,24,114,158
